asset,n,v,rate,pv,ok,persist,last_vol,last_var,last_cvar,zone
BZ=F,1064,8,0.75,0.3949,True,0.9852,81.81,15.3643,19.2755,GREEN
CL=F,1063,8,0.75,0.3966,True,0.9753,79.75,13.5941,16.4099,GREEN
NG=F,1064,4,0.38,0.0191,False,0.8349,69.74,13.8814,17.8549,GREEN
GC=F,1063,5,0.47,0.0529,True,0.9781,38.28,7.9435,10.4091,GREEN
XOM,1060,6,0.57,0.122,True,0.9885,24.49,4.31,5.267,GREEN
CVX,1060,6,0.57,0.122,True,0.8568,22.02,4.6829,6.2059,GREEN
BP,1060,6,0.57,0.122,True,0.8647,31.71,7.11,9.6595,GREEN
SHEL,1060,6,0.57,0.122,True,0.9545,19.9,3.9112,5.0023,GREEN
COP,1060,8,0.75,0.4015,True,0.9862,27.3,5.2009,6.5643,GREEN
OXY,1060,3,0.28,0.0056,False,0.994,35.72,7.5634,10.0032,GREEN
CB,1060,4,0.38,0.0196,False,0.8197,17.98,3.7537,4.9327,GREEN
AIG,1060,5,0.47,0.0539,True,0.8224,23.69,5.1751,6.9449,GREEN
MKL,1060,3,0.28,0.0056,False,0.7493,20.33,4.919,6.9388,GREEN
EG,1060,8,0.75,0.4015,True,0.7158,24.03,5.2919,7.1279,GREEN
TRV,1060,4,0.38,0.0196,False,0.805,20.27,4.7675,6.6306,GREEN
SPY,1060,8,0.75,0.4015,True,0.9842,14.8,2.8091,3.5394,GREEN
IEF,1060,10,0.94,0.8517,True,0.9981,5.56,0.8806,1.0352,GREEN
USO,1060,6,0.57,0.122,True,0.9705,67.59,11.8499,14.4591,GREEN
